name,Project_Creation,Issue_Id,Issue_Date,issue_id,,2010,January,February,March,April,May,June,July,August,September,October,November,December
mongo,2009-01-15 8:15,4996,2011-07-26 12:52,69,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4995,2011-07-26 14:35,70,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4992,2011-07-27 11:23,71,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3891,2011-07-28 2:11,72,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3889,2011-07-31 0:44,73,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3887,2011-08-09 20:53,74,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3885,2011-08-10 15:11,75,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3882,2011-08-15 10:19,76,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4990,2011-08-19 4:21,77,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4987,2011-08-19 10:05,78,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4984,2011-09-06 3:33,79,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4981,2011-09-11 14:59,80,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4978,2011-09-14 6:14,81,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3880,2011-09-15 4:29,82,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4975,2011-09-15 5:42,83,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4972,2011-09-15 6:44,84,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4964,2011-09-16 5:34,85,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4962,2011-09-16 5:42,86,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4959,2011-09-16 21:08,87,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4957,2011-09-17 7:13,88,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4953,2011-09-20 6:43,89,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4950,2011-09-25 11:38,90,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3878,2011-09-26 4:15,91,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3875,2011-09-26 8:13,92,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4947,2011-09-26 19:27,93,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3873,2011-09-30 21:16,94,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4944,2011-10-03 20:16,95,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4941,2011-10-06 6:34,96,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4938,2011-10-06 12:19,97,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4936,2011-10-06 12:40,98,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4934,2011-10-06 13:08,99,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4932,2011-10-06 13:44,100,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4931,2011-10-06 14:28,101,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4928,2011-10-07 5:13,102,,,,,,,,,,,,,,
